asset_key,asset_id
MOP:development-activity-monitor,ASSET-0077
MOP:digital-surface-model,ASSET-0078
MOP:drainpipes,ASSET-0079
MOP:drinking-fountains,ASSET-0080
MOP:employment-by-block-by-anzsic,ASSET-0081
MOP:employment-by-block-by-clue-industry,ASSET-0082
MOP:employment-by-block-by-space-use,ASSET-0083
MOP:environmental-resources-consumed-including-air-travel-chemicals-electricity-fuel,ASSET-0084
MOP:estimated-greenhouse-gas-emissions-generated-by-degraves-st-recycling-facility-2,ASSET-0085
MOP:event-permits-2014-2018-including-film-shoots-photo-shoots-weddings-christmas-pa,ASSET-0086
MOP:families-with-children-profile-2016-aged-0-12-years,ASSET-0087
MOP:feature-lighting-including-light-type-wattage-and-location,ASSET-0006
MOP:fees-and-charges-2014-15,ASSET-0088
MOP:fire-hydrants,ASSET-0089
MOP:floor-space-by-block-by-anzsic,ASSET-0090
MOP:floor-space-by-block-by-clue-industry,ASSET-0091
MOP:floor-space-by-use-by-block,ASSET-0092
MOP:floor-space-per-anzsic-in-municipality,ASSET-0093
MOP:floor-space-per-clue-industry-in-municipality,ASSET-0094
MOP:floor-space-per-space-use-in-municipality,ASSET-0095
MOP:footpath-steepness,ASSET-0096
MOP:footpaths,ASSET-0097
MOP:former-creeks-in-melbourne-urban-forest,ASSET-0098
MOP:former-lakes-and-wetlands-in-melbourne,ASSET-0099
MOP:free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-,ASSET-0100
MOP:garbage-collection-zones,ASSET-0101
MOP:greenhouse-gas-conversion-factors-for-environmental-reporting-with-sources,ASSET-0102
MOP:guppy,ASSET-0103
MOP:high-rise-residents-profile-2016,ASSET-0104
MOP:house-prices-by-small-area-sale-year,ASSET-0105
MOP:house-prices-by-small-area-transfer-year,ASSET-0106
MOP:indicators-of-quality-of-life-and-city-services-by-year,ASSET-0107
MOP:indicators-of-wellbeing-by-year-future-melbourne,ASSET-0108
MOP:insect-records-in-the-city-of-melbourne-from-little-things-that-run-the-city,ASSET-0109
MOP:jobs-per-anzsic-in-municipality,ASSET-0007
MOP:jobs-per-clue-industry-in-municipality,ASSET-0110
MOP:jobs-per-space-use-in-municipality,ASSET-0111
MOP:landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,ASSET-0008
MOP:laneways-with-greening-potential,ASSET-0009
MOP:litter-traps,ASSET-0112
MOP:live-music-venues,ASSET-0113
MOP:mahlstedts-fire-plans-of-melbourne-1888,ASSET-0114
MOP:marine-berths,ASSET-0115
MOP:median-house-prices-by-transfer-year-from-2000-2016,ASSET-0116
MOP:median-house-prices-by-type-and-sale-year,ASSET-0117
MOP:melbourne-bike-share-station-readings-2011-2017,ASSET-0118
MOP:melbourne-conversations-past-events-2001-2017,ASSET-0119
MOP:melbourne-testbed-devices-reference-list,ASSET-0120
MOP:melbourne-visitor-contact-stats,ASSET-0121
MOP:meshed-sensor-type-1,ASSET-0122
MOP:meshed-sensor-type-2,ASSET-0010
MOP:meshed-sensor-type-3,ASSET-0123
MOP:microclimate-sensor-locations,ASSET-0124
MOP:microclimate-sensor-readings,ASSET-0125
MOP:microclimate-sensors-data,ASSET-0126
MOP:microlabs-accelerometer-sensor-data,ASSET-0127
MOP:microlabs-co2-sensor-data,ASSET-0128
MOP:microlabs-sound-sensor-data,ASSET-0129
MOP:multicultural-community-profile-2016,ASSET-0130
MOP:municipal-boundary,ASSET-0131
MOP:new_clue_industry_establishments_for_com,ASSET-0132
MOP:off-street-car-parks-with-capacity-and-type,ASSET-0133
MOP:older-people-profile-2016-60-years-and-over,ASSET-0134
MOP:on-street-car-park-bay-restrictions,ASSET-0135
MOP:on-street-car-parking-meters-with-location,ASSET-0136
MOP:on-street-car-parking-sensor-data-2011,ASSET-0137
MOP:on-street-car-parking-sensor-data-2012,ASSET-0138
MOP:on-street-car-parking-sensor-data-2013,ASSET-0139
MOP:on-street-car-parking-sensor-data-2014,ASSET-0140
MOP:on-street-car-parking-sensor-data-2015,ASSET-0141
MOP:on-street-car-parking-sensor-data-2016,ASSET-0142
MOP:on-street-car-parking-sensor-data-2017,ASSET-0143
MOP:on-street-car-parking-sensor-data-2018,ASSET-0144
MOP:on-street-car-parking-sensor-data-2019,ASSET-0145
MOP:on-street-car-parking-sensor-data-2020-jan-may,ASSET-0146
MOP:on-street-parking-bay-sensors,ASSET-0147
MOP:on-street-parking-bays,ASSET-0148
MOP:organic-waste-collected-at-degraves-st-recycling-facility-2016,ASSET-0149
MOP:outdoor-artworks,ASSET-0150
MOP:outdoor-non-smoking-zones,ASSET-0151
MOP:parking-bay-arrivals-and-departures-2014,ASSET-0152
MOP:parking-restrictions-southeast-cbd-only-2014,ASSET-0153
MOP:parking-zones-linked-to-street-segments,ASSET-0154
MOP:patents-2010-14-with-per-capita-count-standard-and-innovation-only,ASSET-0155
MOP:patents-by-postcode-2010-14-standard-and-innovation-only,ASSET-0156
MOP:pay-stay-parking-restrictions,ASSET-0157
MOP:pay-stay-zones-linked-to-street-segments,ASSET-0158
MOP:pedestrian-counting-system-monthly-counts-per-hour,ASSET-0011
MOP:pedestrian-counting-system-past-hour-counts-per-minute,ASSET-0159
MOP:pedestrian-counting-system-sensor-locations,ASSET-0160
MOP:pedestrian-network,ASSET-0012
MOP:planned-capital-works-and-maintenance-2014-15-with-funding-sources,ASSET-0161
MOP:plaques-located-at-the-shrine-of-remembrance,ASSET-0162
MOP:playgrounds,ASSET-0163
MOP:polystyrene-collected-at-degraves-st-recycling-facility-2016,ASSET-0164
MOP:postcodes,ASSET-0165
MOP:pre-colonial-plant-list,ASSET-0166
MOP:properties-leased-by-city-of-melbourne,ASSET-0167
MOP:properties-owned-by-city-of-melbourne-2014-values-over-25-million-only,ASSET-0168
MOP:property-boundaries,ASSET-0169
MOP:property-level-energy-consumption-modelled-on-building-attributes-baseline-2011-,ASSET-0170
MOP:public-artworks-fountains-and-monuments,ASSET-0171
MOP:public-barbecues,ASSET-0172
MOP:public-memorials-and-sculptures,ASSET-0173
MOP:public-open-space-contribution-register,ASSET-0174
MOP:public-toilets,ASSET-0013
MOP:pumping-station-locations,ASSET-0175
MOP:renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,ASSET-0176
MOP:residential-dwellings,ASSET-0014
MOP:residents-profiles-by-clue-small-area,ASSET-0177
MOP:road-corridors,ASSET-0178
MOP:road-segment,ASSET-0179
MOP:road-segments-with-surface-type,ASSET-0180
MOP:rooftops-with-environmental-retrofitting-opportunities-rooftop-project,ASSET-0181
MOP:sdg-indicators,ASSET-0182
MOP:self-guided-walks,ASSET-0183
MOP:sensor-readings-with-temperature-light-humidity-every-5-minutes-at-8-locations-t,ASSET-0184
MOP:sign-panels-non-parking,ASSET-0185
MOP:sign-plates-located-in-each-parking-zone,ASSET-0186
MOP:sign-plates-located-in-each-pay-stay-zone,ASSET-0187
MOP:small-areas-for-census-of-land-use-and-employment-clue,ASSET-0015
MOP:social-indicators-for-city-of-melbourne-residents-2018,ASSET-0188
MOP:social-indicators-for-city-of-melbourne-residents-2019,ASSET-0189
MOP:social-indicators-for-city-of-melbourne-residents-2020,ASSET-0190
MOP:social-indicators-for-city-of-melbourne-residents-2021,ASSET-0191
MOP:social-indicators-for-city-of-melbourne-residents-2022,ASSET-0192
MOP:social-indicators-for-city-of-melbourne-residents-2023,ASSET-0193
MOP:soil-sensor-locations,ASSET-0194
MOP:soil-sensor-readings-historical-data,ASSET-0195
MOP:soil-sensor-readings-historical-data-2022,ASSET-0196
MOP:soil-textures-at-various-depths,ASSET-0197
MOP:soil-types-by-area-urban-forest,ASSET-0198
MOP:sources-of-funding-operating-2014-15,ASSET-0199
MOP:sources-of-funding-works,ASSET-0200
MOP:staff-counts-2014-15,ASSET-0201
MOP:staff-salary-and-wages-budget-2014-15,ASSET-0202
MOP:standard-balance-sheet-2013-14,ASSET-0203
MOP:standard-income-statement-2014-15,ASSET-0204
MOP:standard-statement-of-cash-flows-2014-15,ASSET-0205
MOP:statement-of-capital-works-program-2014-15,ASSET-0206
MOP:statement-of-changes-in-equity-2015-2018,ASSET-0207
MOP:stormwater-pits,ASSET-0208
MOP:street-addresses,ASSET-0209
MOP:street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-,ASSET-0210
MOP:street-lights-with-emitted-lux-level-council-owned-lights-only,ASSET-0016
MOP:street-names,ASSET-0211
MOP:super-sunday-bike-count,ASSET-0212
MOP:syringe-bin-locations,ASSET-0213
MOP:tactile-ground-surface-indicator,ASSET-0017
MOP:taxi-ranks,ASSET-0214
MOP:tertiary-students-profile-2019,ASSET-0215
MOP:thermal-image-2012,ASSET-0216
MOP:threatened-plant-living-collection-plan,ASSET-0217
MOP:traffic-count-vehicle-classification-2014-2017,ASSET-0218
MOP:tram-tracks,ASSET-0219
MOP:transport-activity-counts,ASSET-0220
MOP:tree-canopies-2008-urban-forest,ASSET-0221
MOP:tree-canopies-2011-urban-forest,ASSET-0222
MOP:tree-canopies-2013,ASSET-0223
MOP:tree-canopies-2014,ASSET-0224
MOP:tree-canopies-2015-urban-forest,ASSET-0225
MOP:tree-canopies-2016-urban-forest,ASSET-0226
MOP:tree-canopies-2018-entire-municipal-area-urban-forest,ASSET-0227
MOP:tree-canopies-2019,ASSET-0228
MOP:tree-canopies-2021-urban-forest,ASSET-0229
MOP:tree-canopies-public-realm-2018-urban-forest,ASSET-0230
MOP:tree-planting-zone-schedules-with-years-urban-forest,ASSET-0231
MOP:trees-with-species-and-dimensions-urban-forest,ASSET-0232
MOP:venues-for-event-bookings,ASSET-0233
MOP:waste-collected-per-month,ASSET-0234
MOP:waste-processed-by-dehydrator-at-degraves-st-recycling-facility-2016,ASSET-0235
MOP:water-flow-routes-over-land-urban-forest,ASSET-0236
MOP:wildlife-sightings-bioblitz-2014,ASSET-0237
MOP:workers-profile-2016,ASSET-0238
MOP:younger-people-profile-2016-15-24-years,ASSET-0239
OPENDATASOFT:melbournetestbed.opendatasoft.com:trees-with-species-and-dimensions-urban-forest,ASSET-0241
VIC-EDU:DV300,ASSET-0242
VIC-EDU:DV316,ASSET-0243
VIC-EDU:DV335,ASSET-0244
VIC-EDU:DV355,ASSET-0245
VIC-EDU:DV377,ASSET-0246
bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018.csv,ASSET-0247
discover.data.vic.gov.au/api/3/action/datastore_search,ASSET-0248
discover.data.vic.gov.au/dataset/all-schools-fte-enrolments-feb-2020,ASSET-0249
discover.data.vic.gov.au/dataset/all-schools-fte-enrolments-feb-2021-victoria,ASSET-0250
discover.data.vic.gov.au/dataset/all-schools-fte-enrolments-feb-2022-victoria,ASSET-0251
discover.data.vic.gov.au/dataset/all-schools-fte-enrolments-feb-2023-victoria,ASSET-0252
discover.data.vic.gov.au/dataset/all-schools-fte-enrolments-feb-2024-victoria,ASSET-0253
discover.data.vic.gov.au/dataset/school-locations-2024,ASSET-0254
discover.data.vic.gov.au/dataset/school-locations-2025,ASSET-0255
pedcount.csv,ASSET-0256
raw.githubusercontent.com/chameleon-company/mop-code/master/datascience/usecases/dependencies/uc00206_project%2035_source%20data/dv335-allschoolsfteenrolmentsfeb2022.csv,ASSET-0257
raw.githubusercontent.com/chameleon-company/mop-code/master/datascience/usecases/dependencies/uc00206_project%2035_source%20data/dv355-vic%20all%20schools%20enrolments%202023.csv,ASSET-0258
raw.githubusercontent.com/chameleon-company/mop-code/master/datascience/usecases/dependencies/uc00206_project%2035_source%20data/dv377_datavic-allschoolsenrolments-2024.csv,ASSET-0259
raw.githubusercontent.com/chameleon-company/mop-code/master/datascience/usecases/dependencies/uc00206_project%2035_source%20data/dv403-allschoolsenrolments-2025.csv,ASSET-0260
sensorreadings.csv,ASSET-0261
trees-with-species-and-dimensions-urban-forest.csv,ASSET-0262
www.abs.gov.au/anzsic,ASSET-0263
www.abs.gov.au/statistics/people/population/regional-population/2021-22,ASSET-0264
www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,ASSET-0265
www.education.vic.gov.au/documents/about/research/datavic,ASSET-0266
