sentence,entities
I am at 651 FRANKLIN  STREET in Gardenvale.,"[(12, 28, 'STREET_NAME'), (32, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here in Ferny Creek.,"[(13, 24, 'SUBURB')]"
"I'm at 746 PL5027, Oakleigh South.","[(11, 17, 'STREET_NAME'), (19, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 622 PL5252.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 192 HODDLE  ST.,"[(24, 34, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
Where is 500 CL1510 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on KINGSLAND  PLACE.","[(19, 35, 'STREET_NAME')]"
I am here in Mount Martha.,"[(13, 25, 'SUBURB')]"
I’m at 247 SIMS  SQUARE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 598 CHARLES  ST.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 239 CL159.,"[(11, 16, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 136 BALLARAT  RD, Keilor?","[(24, 36, 'STREET_NAME'), (38, 44, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Yuroke.,"[(13, 19, 'SUBURB')]"
I am trying to reach STURT  ST.,"[(21, 30, 'STREET_NAME')]"
I am here at 947 PLESSEY  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on HADDOWS  LANE.","[(19, 32, 'STREET_NAME')]"
I am at 417 CLYDE  ST in Eumemmerring.,"[(12, 21, 'STREET_NAME'), (25, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
How do I get to 581 PH8035?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 909 CL1086 in Upfield.,"[(12, 18, 'STREET_NAME'), (22, 29, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get here: 328 ALFRED  LANE  (PRIVATE).,"[(24, 47, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here in Box Hill.,"[(13, 21, 'SUBURB')]"
I am here at 356 EMPRESS  ROAD.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 527 PT5083.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 13 PL5002 in Lower Plenty.,"[(23, 29, 'STREET_NAME'), (33, 45, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
How do I get to 108 PL5005?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
Where is 516 CLARENDON  ST located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach CL1031.,"[(21, 27, 'STREET_NAME')]"
I need to go to Moorabbin.,"[(16, 25, 'SUBURB')]"
I am here in Ivanhoe.,"[(13, 20, 'SUBURB')]"
I need to get here: 166 MELBOURNE  GOODS  RAILWAY.,"[(24, 49, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get to 189 FLINDERS  LANE.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm on DUDLEY  STREET in Keilor Downs.,"[(7, 21, 'STREET_NAME'), (25, 37, 'SUBURB')]"
Where is 907 PL5026 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach LITTLE WILLIAM  STREET.,"[(21, 43, 'STREET_NAME')]"
Where is 464 CL0551 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on MALONEY  STREET.","[(19, 34, 'STREET_NAME')]"
I need directions to DAVIS  AV in Hoppers Crossing.,"[(21, 30, 'STREET_NAME'), (34, 50, 'SUBURB')]"
I need directions to COOPERS  LANE in Kingsville.,"[(21, 34, 'STREET_NAME'), (38, 48, 'SUBURB')]"
I am currently at 438 FREEWAY  EXIT  RAMP.,"[(22, 41, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 926 CL1532.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on HAWKINS  LANE.","[(19, 32, 'STREET_NAME')]"
I’m at 840 CALWELL  STREET.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on MENZIES  LANE.","[(19, 32, 'STREET_NAME')]"
I am trying to reach ST  BISHOY  LANE.,"[(21, 37, 'STREET_NAME')]"
I'm heading towards 389 VICTORY  PDE in Dandenong.,"[(24, 36, 'STREET_NAME'), (40, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need directions to MIDTOWN  PLAZA in Waverley Park.,"[(21, 35, 'STREET_NAME'), (39, 52, 'SUBURB')]"
"Currently, I am on HOPE  STREET.","[(19, 31, 'STREET_NAME')]"
"Can you guide me to 41 CL1028, Albanvale?","[(23, 29, 'STREET_NAME'), (31, 40, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
"I'm at 183 FOOTE  ST, Brookfield.","[(11, 20, 'STREET_NAME'), (22, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 27 PL5339.,"[(21, 27, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
I need to go to Crib Point.,"[(16, 26, 'SUBURB')]"
I am here in Rosebud.,"[(13, 20, 'SUBURB')]"
I am trying to reach CL1620.,"[(21, 27, 'STREET_NAME')]"
How do I get to 113 GEM  PLACE?,"[(20, 30, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm on GEOGRAPHE  STREET in Niddrie.,"[(7, 24, 'STREET_NAME'), (28, 35, 'SUBURB')]"
I need to get here: 638 KERFERD  RD.,"[(24, 35, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
Where is 828 NICHOLSON  ST located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get to 623 TODD  ROAD.,"[(21, 31, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on MCALLISTER  MEWS.","[(19, 35, 'STREET_NAME')]"
I’m at 832 RUSH  PLACE.,"[(11, 22, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 871 ROURKE  LANE located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on PL5379 in Oakleigh East.,"[(7, 13, 'STREET_NAME'), (17, 30, 'SUBURB')]"
I am currently at 393 LITTLE DRYBURGH  STREET SOUTH.,"[(22, 51, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to go to Doreen.,"[(16, 22, 'SUBURB')]"
I need to get to 431 PL5212.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get to 450 MCLEAN  ALLEY.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I’m at 337 ARNOLD  ST.,"[(11, 21, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 697 DANAHER  LANE in Eltham.,"[(24, 37, 'STREET_NAME'), (41, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Keilor Park.,"[(13, 24, 'SUBURB')]"
I am here at 175 COVENTRY  ST.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 661 DRUMMOND  ST located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Can you guide me to 447 QUEENS  BRIDGE  STREET, Clayton South?","[(24, 46, 'STREET_NAME'), (48, 61, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 563 BLOCK  PLACE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
How do I get to 26 NEWQUAY  PROMENADE?,"[(19, 37, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I am currently at 514 BEATRICE  ST.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
Where is 191 LITTLE  BENDALL  STREET located?,"[(13, 36, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach PL5261.,"[(21, 27, 'STREET_NAME')]"
I need to get here: 926 ANN  ST.,"[(24, 31, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to HADDOWS  LANE in Wildwood.,"[(21, 34, 'STREET_NAME'), (38, 46, 'SUBURB')]"
I need to go to Patterson Lakes.,"[(16, 31, 'SUBURB')]"
How do I get to 536 JIKA  PL?,"[(20, 28, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get to 895 GUILDFORD  LANE.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 651 ADDERLEY  STREET in Tullamarine.,"[(24, 40, 'STREET_NAME'), (44, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 638 HOBSONS  ROAD.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Ascot Vale.,"[(16, 26, 'SUBURB')]"
I am at 756 DE FEU  STREET in Brookfield.,"[(12, 26, 'STREET_NAME'), (30, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
How do I get to 899 CL1179?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 168 PL5384 in Wheelers Hill.,"[(12, 18, 'STREET_NAME'), (22, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to go to Langwarrin.,"[(16, 26, 'SUBURB')]"
I am here in Kingsbury.,"[(13, 22, 'SUBURB')]"
I am trying to reach MACKENZIE  STREET.,"[(21, 38, 'STREET_NAME')]"
I need to get to 440 POOL  ST.,"[(21, 29, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I’m at 257 POWELL  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need directions to CL1059 in Kerrimuir.,"[(21, 27, 'STREET_NAME'), (31, 40, 'SUBURB')]"
"Can you guide me to 444 WILLIS  STREET, Truganina?","[(24, 38, 'STREET_NAME'), (40, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach SPENCER  STREET  BRIDGE  FOOTBRIDGE.,"[(21, 56, 'STREET_NAME')]"
I’m at 581 COURTNEY  PLACE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I’m at 503 ASCOT VALE  RD.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"I'm at 298 CL1601, South Morang.","[(11, 17, 'STREET_NAME'), (19, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 460 PL5189 in Westgarth.,"[(12, 18, 'STREET_NAME'), (22, 31, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am trying to reach BUCKHURST  LA.,"[(21, 34, 'STREET_NAME')]"
"Currently, I am on JACKSON  ST.","[(19, 30, 'STREET_NAME')]"
I need directions to MACKINNON  PLACE in Knoxfield.,"[(21, 37, 'STREET_NAME'), (41, 50, 'SUBURB')]"
I am here at 850 NORVAL  PLACE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"I'm at 809 NEALE  STREET, Bayswater.","[(11, 24, 'STREET_NAME'), (26, 35, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 197 CL1669.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am at 835 CAPTAINS  WALK in Beaconsfield.,"[(12, 26, 'STREET_NAME'), (30, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 182 MITRE  LANE.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm heading towards 733 CL1417 in Brighton East.,"[(24, 30, 'STREET_NAME'), (34, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Chadstone.,"[(16, 25, 'SUBURB')]"
I’m at 891 CAPEL  STREET.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 818 PL5283?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
How do I get to 705 GOTCH  LANE?,"[(20, 31, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here at 689 LITTLE HARDIMAN  STREET.,"[(17, 40, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on McENTEE LANE in Frankston South.,"[(7, 19, 'STREET_NAME'), (23, 38, 'SUBURB')]"
I am trying to reach GURNER  ST.,"[(21, 31, 'STREET_NAME')]"
I’m at 716 CATHAY  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 863 NICHOLLS  LANE?,"[(20, 34, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
Where is 949 PITT  STREET located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I’m at 851 CL1021.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 114 PL5342.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to MILSON  PL in Seville.,"[(21, 31, 'STREET_NAME'), (35, 42, 'SUBURB')]"
I need to get here: 373 CL1077.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 850 BLAIR  PLACE, Bittern?","[(24, 36, 'STREET_NAME'), (38, 45, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on SWAN STREET  BRIDGE.","[(19, 38, 'STREET_NAME')]"
I am trying to reach BOURKE  STREET.,"[(21, 35, 'STREET_NAME')]"
I'm on DOCK  LINK  ROAD in Springvale.,"[(7, 23, 'STREET_NAME'), (27, 37, 'SUBURB')]"
Where is 425 POST  OFFICE  PLACE located?,"[(13, 32, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Blackburn.,"[(16, 25, 'SUBURB')]"
"I'm at 460 LEVEN  AVENUE, Bundoora.","[(11, 24, 'STREET_NAME'), (26, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 788 LEES  PLACE in Ravenhall.,"[(12, 23, 'STREET_NAME'), (27, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 559 DUNIRA LANE.,"[(11, 22, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 212 PL5124 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm heading towards 700 PATTERSON  ST in Malvern East.,"[(24, 37, 'STREET_NAME'), (41, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 81 CL1752.,"[(23, 29, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I am at 704 PL5130 in Wantirna South.,"[(12, 18, 'STREET_NAME'), (22, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am trying to reach PL5069.,"[(21, 27, 'STREET_NAME')]"
I’m at 603 MACARTHUR  PLACE NORTH.,"[(11, 33, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 628 LITTLE CURZON  STREET.,"[(22, 43, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach BRIDGE  ST.,"[(21, 31, 'STREET_NAME')]"
I am at 696 MILLER  PLACE in Aberfeldie.,"[(12, 25, 'STREET_NAME'), (29, 39, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 116 NICHOLSON  PLACE, Bayswater North.","[(11, 27, 'STREET_NAME'), (29, 44, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 203 ALLISON  LANE.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm heading towards 647 BARKLY  PLACE in Moorabbin Airport.,"[(24, 37, 'STREET_NAME'), (41, 58, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Strathmore.,"[(16, 26, 'SUBURB')]"
How do I get to 878 HARDWICKE  STREET?,"[(20, 37, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Can you guide me to 157 SIMS  SQUARE, Seabrook?","[(24, 36, 'STREET_NAME'), (38, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 529 PL5383 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on YORK  ST.","[(19, 27, 'STREET_NAME')]"
Where is 108 KAY  STREET located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Can you guide me to 381 JOLIMONT  RAIL  YARDS, Pennydale?","[(24, 45, 'STREET_NAME'), (47, 56, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 869 CL1117, Heidelberg Heights?","[(24, 30, 'STREET_NAME'), (32, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Niddrie.,"[(13, 20, 'SUBURB')]"
I am here in Caulfield East.,"[(13, 27, 'SUBURB')]"
"I'm at 659 UNION  STREET, Dallas.","[(11, 24, 'STREET_NAME'), (26, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on WESTGATE  FREEWAY  (KINGS WAY EXIT).","[(19, 54, 'STREET_NAME')]"
I need to get here: 616 CL0496.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to go to Clifton Hill.,"[(16, 28, 'SUBURB')]"
"Can you guide me to 348 HARDIMAN  STREET, Bayswater North?","[(24, 40, 'STREET_NAME'), (42, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 758 MATTINGLYS  LANE located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am at 52 DORCHESTER  PLACE in Frankston North.,"[(11, 28, 'STREET_NAME'), (32, 47, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I am here in Bentleigh East.,"[(13, 27, 'SUBURB')]"
I'm heading towards 100 PUBLIC  PARKING in Upwey.,"[(24, 39, 'STREET_NAME'), (43, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on ALFRED  PL.","[(19, 29, 'STREET_NAME')]"
I am currently at 843 GARDINER  STREET.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to PL5332 in Tootgarook.,"[(21, 27, 'STREET_NAME'), (31, 41, 'SUBURB')]"
I need to get to 278 SALMON  STREET.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 876 PARK  GROVE, Mooroolbark?","[(24, 35, 'STREET_NAME'), (37, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach ARDEN  SIDING  RAILWAY.,"[(21, 43, 'STREET_NAME')]"
"I'm at 448 LALOR  ST, Campbellfield.","[(11, 20, 'STREET_NAME'), (22, 35, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here at 889 CULLENS  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to OWEN  STREET in Brunswick.,"[(21, 33, 'STREET_NAME'), (37, 46, 'SUBURB')]"
Where is 63 RAKAIA  WAY located?,"[(12, 23, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
I'm heading towards 303 CL0386 in Bayswater.,"[(24, 30, 'STREET_NAME'), (34, 43, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 616 LITTLE  ERROL  STREET.,"[(21, 42, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am currently at 872 SARDINE  STREET.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Bennettswood.,"[(13, 25, 'SUBURB')]"
I am here at 629 CL1756.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
How do I get to 724 CL1095?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 210 PL5287 in Doncaster.,"[(12, 18, 'STREET_NAME'), (22, 31, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Currently, I am on COLLETT  STREET.","[(19, 34, 'STREET_NAME')]"
"Currently, I am on LEVESON STREET.","[(19, 33, 'STREET_NAME')]"
"I'm at 503 THE  STRAND, Surrey Hills.","[(11, 22, 'STREET_NAME'), (24, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 655 CL1271.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach GEDDES  LANE.,"[(21, 33, 'STREET_NAME')]"
I need directions to DAVID  STREET in Mulgrave.,"[(21, 34, 'STREET_NAME'), (38, 46, 'SUBURB')]"
I’m at 937 NIAGARA  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 380 PL5345.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am trying to reach BLACKWOOD  STREET.,"[(21, 38, 'STREET_NAME')]"
I’m at 69 PL5162.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
"Can you guide me to 912 CL0533 PRIVATE, Lyndhurst?","[(24, 38, 'STREET_NAME'), (40, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 1 KINGS  WAY in Oakleigh.,"[(10, 20, 'STREET_NAME'), (24, 32, 'SUBURB'), (8, 9, 'STREET_NUMBER')]"
I am at 266 SIBERIA  LANE in Elsternwick.,"[(12, 25, 'STREET_NAME'), (29, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 48 CL0501.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
Where is 503 LINCOLN  SQUARE SOUTH located?,"[(13, 34, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Bittern.,"[(13, 20, 'SUBURB')]"
I'm heading towards 246 CASSELDEN  PLACE in Dromana.,"[(24, 40, 'STREET_NAME'), (44, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 373 PL5109, Chelsea Heights?","[(24, 30, 'STREET_NAME'), (32, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on BLENDER  LANE.","[(19, 32, 'STREET_NAME')]"
I am here in Nunawading.,"[(13, 23, 'SUBURB')]"
I am currently at 525 PH8033.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to CL0111 in Tootgarook.,"[(21, 27, 'STREET_NAME'), (31, 41, 'SUBURB')]"
I'm heading towards 401 WATSONS  WALK in Cranbourne North.,"[(24, 37, 'STREET_NAME'), (41, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Boronia.,"[(16, 23, 'SUBURB')]"
I need to go to Delahey.,"[(16, 23, 'SUBURB')]"
I’m at 366 MARK  STREET.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 521 CROWN  PLACE, South Morang?","[(24, 36, 'STREET_NAME'), (38, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 984 CL196.,"[(22, 27, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
How do I get to 259 LITTLE QUEENSBERRY  STREET?,"[(20, 46, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 996 PT5354.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 967 PL5148?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm on O'BRIEN  PLACE in St Helena.,"[(7, 21, 'STREET_NAME'), (25, 34, 'SUBURB')]"
I am trying to reach WILSON  ST.,"[(21, 31, 'STREET_NAME')]"
I’m at 281 PL5369.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 387 PH8004.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm on LANGS  ROAD in Montmorency.,"[(7, 18, 'STREET_NAME'), (22, 33, 'SUBURB')]"
"Currently, I am on PL5283.","[(19, 25, 'STREET_NAME')]"
"Currently, I am on CL1117.","[(19, 25, 'STREET_NAME')]"
I need to get to 824 BARKLY  AV.,"[(21, 31, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here at 701 GEORGE  PARADE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 503 FRANKLIN  PLACE.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on SPRING  ST  NORTH in Williams Landing.,"[(7, 24, 'STREET_NAME'), (28, 44, 'SUBURB')]"
Where is 303 CROMWELL  ST located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here at 800 CL1757.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on PL5387.","[(19, 25, 'STREET_NAME')]"
"Currently, I am on COLGAN  STREET.","[(19, 33, 'STREET_NAME')]"
I am trying to reach JESSIE  ST.,"[(21, 31, 'STREET_NAME')]"
