asset_id,asset_key,dataset,link,source,publisher,themes,used_by,datatype,size,variable_count,variables
ASSET-0010,MOP:meshed-sensor-type-2,Argyle Square Microclimate sensors,https://data.melbourne.vic.gov.au/explore/dataset/meshed-sensor-type-2/,City of Melbourne Open Data,City of Melbourne,Environment,,Geospatial,105097,8,device_id | time | sensor_name | temperature | humidity | battery | lat_long | location_picture_hyperlink
ASSET-0123,MOP:meshed-sensor-type-3,Argyle Square sound stage activity,https://data.melbourne.vic.gov.au/explore/dataset/meshed-sensor-type-3/,City of Melbourne Open Data,City of Melbourne,People,,Geospatial,633992,10,dev_id | sensor_name | time | temperature | humidity | light | motion | visit | vdd | lat_long
ASSET-0027,MOP:argyle-square-sound-stage-activity-copy,Argyle Square sound stage activity - copy,https://data.melbourne.vic.gov.au/explore/dataset/argyle-square-sound-stage-activity-copy/,City of Melbourne Open Data,City of Melbourne,"Spatial planning, Assets Management & Monitoring",,Geospatial,0,10,dev_id | sensor_name | time | temperature | humidity | light | motion | visit | vdd | lat_long
ASSET-0122,MOP:meshed-sensor-type-1,Argyle Square weather stations (historical data),https://data.melbourne.vic.gov.au/explore/dataset/meshed-sensor-type-1/,City of Melbourne Open Data,City of Melbourne,Environment,,Geospatial,117897,18,device_id | time | rtc | battery | solarpanel | command | solar | precipitation | strikes | windspeed | winddirection | gustspeed | vapourpressure | atmosphericpressure | relativehumidity | airtemp | lat_long | sensor_name
ASSET-0028,MOP:assets-for-environmental-reporting,Assets for environmental reporting,https://data.melbourne.vic.gov.au/explore/dataset/assets-for-environmental-reporting/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,447,11,branch | asset_type | asset_name | address | suburb | postcode | category | nger_entity | latitude | longitude | geocode
ASSET-0029,MOP:bars-and-pubs-with-patron-capacity,"Bar, tavern, pub patron capacity",https://data.melbourne.vic.gov.au/explore/dataset/bars-and-pubs-with-patron-capacity/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Geospatial,5304,12,census_year | block_id | property_id | base_property_id | building_address | clue_small_area | trading_name | business_address | number_of_patrons | longitude | latitude | location
ASSET-0030,MOP:bat-records-in-fitzroy-gardens-and-royal-botanic-gardens-2010,Bat Records in Fitzroy Gardens and Royal Botanic Gardens 2010,https://data.melbourne.vic.gov.au/explore/dataset/bat-records-in-fitzroy-gardens-and-royal-botanic-gardens-2010/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,10,11,taxa | kingdom | phylum | class | order | family | genus | species | common_name | park_name | location
ASSET-0031,MOP:bicycle-network,Bicycle Network,https://data.melbourne.vic.gov.au/explore/dataset/bicycle-network/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,130048,10,geo_point_2d | geo_shape | objectid | roadclass | width | oneway | management | direction | shape_length | description
ASSET-0032,MOP:bicycle-routes-including-informal-on-road-and-off-road-routes,"Bicycle routes, including informal, on-road and off-road routes.",https://data.melbourne.vic.gov.au/explore/dataset/bicycle-routes-including-informal-on-road-and-off-road-routes/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,5517,23,assetid | class | type | area | assetmanager | company | contract | description | ownership | primaryservicemanager | objectid | active | lanetype | roadclass | surfacetreatment | protection | tenure | length | width | clueregion | segmentdescription | json_geometry | geo_point_2d
ASSET-0033,MOP:bike-share-dock-locations,Bike Share Dock Locations,https://data.melbourne.vic.gov.au/explore/dataset/bike-share-dock-locations/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,50,7,station_id | name | rental_method | capacity | lat | lon | location
ASSET-0034,MOP:bioblitz-2016,BioBlitz 2016,https://data.melbourne.vic.gov.au/explore/dataset/bioblitz-2016/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,1356,16,taxa | kingdom | phylum | class | order | family | genus | species | common_name | identification_notes | data_resource_name | sighting_date | latitude | longitude | location | geopoint
ASSET-0035,MOP:bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018,"Bird Survey Results for Areas in the City of Melbourne, February and March 2018",https://data.melbourne.vic.gov.au/explore/dataset/bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,498,14,sighting_date | common_name | scientific_name | sighting_count | victorian_biodiversity_atlas_code | lat | lon | loc1_desc | lat2 | lon2 | loc2_desc | site_name | location_2 | location_1
ASSET-0036,MOP:block-level-energy-consumption-modelled-on-building-attributes-2011-baseline,Block level energy consumption (modelled on building attributes) - 2011 baseline,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2011-baseline/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,686,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0037,MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-b,Block level energy consumption (modelled on building attributes) - 2016 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2016-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,662,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0038,MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-r,Block level energy consumption (modelled on building attributes) - 2016 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2016-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,662,3,geo_point_2d | geo_shape | total
ASSET-0039,MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-b,Block level energy consumption (modelled on building attributes) - 2021 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2021-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,640,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0040,MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-r,Block level energy consumption (modelled on building attributes) - 2021 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2021-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,640,3,geo_point_2d | geo_shape | total
ASSET-0001,MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-b,Block level energy consumption (modelled on building attributes) - 2026 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2026-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,628,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0041,MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-r,Block level energy consumption (modelled on building attributes) - 2026 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2026-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,628,3,geo_point_2d | geo_shape | total
ASSET-0042,MOP:blocks-for-census-of-land-use-and-employment-clue,Blocks for Census of Land Use and Employment (CLUE),https://data.melbourne.vic.gov.au/explore/dataset/blocks-for-census-of-land-use-and-employment-clue/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Geospatial,603,5,geo_point_2d | geo_shape | block_id | region_name | area_name
ASSET-0043,MOP:bom-weather-at-olympic-park,BOM Weather at Olympic Park,https://data.melbourne.vic.gov.au/explore/dataset/bom-weather-at-olympic-park/,City of Melbourne Open Data,Bureau of Meteorology,Environment,,Geospatial,11359,43,local_date_time_full | refresh_message | id | main_id | name | state_time_zone | time_zone | product_name | state | sort_order | wmo | history_product | local_date_time | aifstime_utc | lat | lon | apparent_t | cloud | cloud_base_m | cloud_oktas | cloud_type_id | cloud_type | delta_t | gust_kmh | gust_kt | air_temp | dewpt | press | press_qnh | press_msl | press_tend | rain_trace | rel_hum | sea_state | swell_dir_worded | swell_height | swell_period | vis_km | weather | wind_dir | wind_spd_kmh | wind_spd_kt | latlong
ASSET-0044,MOP:bookable-banner-poles,Bookable Banner Poles,https://data.melbourne.vic.gov.au/explore/dataset/bookable-banner-poles/,City of Melbourne Open Data,data.melbourne.vic.gov.au,City Council,,Geospatial,417,21,description | class | type | subtype | company | contract | assetmanager | primaryservicemanager | ownership | conditionrating | evaluationdate | installationdate | modelno | modeldescription | bookinggroup | venuenumber | isactive | locationdescription | roadsegmentdescription | location | geo_point_2d
ASSET-0048,MOP:buildings-with-name-age-size-accessibility-and-bicycle-facilities,Building information,https://data.melbourne.vic.gov.au/explore/dataset/buildings-with-name-age-size-accessibility-and-bicycle-facilities/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,305557,19,census_year | block_id | property_id | base_property_id | building_name | street_address | clue_small_area | construction_year | refurbished_year | number_of_floors_above_ground | predominant_space_use | accessibility_type | accessibility_type_description | accessibility_rating | bicycle_spaces | has_showers | longitude | latitude | location
ASSET-0045,MOP:building-outlines-20140,Building outlines 2014,https://data.melbourne.vic.gov.au/explore/dataset/building-outlines-20140/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,21982,12,geo_point_2d | geo_shape | fmtaddress | mccid_str | easting | height | northing | build_year | zmin | floors | mccid_int | zmax
ASSET-0046,MOP:building-outlines-2015,Building outlines 2015,https://data.melbourne.vic.gov.au/explore/dataset/building-outlines-2015/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,20861,7,geo_point_2d | geo_shape | geom_type | ovlhgt_ahd | suburb | struct_id | base_ahd
ASSET-0047,MOP:building-permits,Building Permits,https://data.melbourne.vic.gov.au/explore/dataset/building-permits/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Tabular,184174,10,council_ref | permit_number | issue_date | address | desc_of_works | estimated_cost_of_works | rbs_number | commence_by_date | completed_by_date | permit_certificate_type
ASSET-0002,MOP:bus-stops,Bus stops,https://data.melbourne.vic.gov.au/explore/dataset/bus-stops/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,UC00088 | UC00157,Geospatial,309,16,geo_point_2d | geo_shape | prop_id | addresspt1 | addressp_1 | asset_clas | asset_type | objectid | str_id | addresspt | asset_subt | model_desc | mcc_id | roadseg_id | descriptio | model_no
ASSET-0049,MOP:bus-stops-for-melbourne-visitor-shuttle,Bus stops for Melbourne Visitor Shuttle,https://data.melbourne.vic.gov.au/explore/dataset/bus-stops-for-melbourne-visitor-shuttle/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,13,4,stop_number | name | address | co_ordinates
ASSET-0051,MOP:business-establishments-and-jobs-data-by-business-size-and-anzsic-in-municipality,Business establishments and jobs data by business size and ANZSIC in municipality,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-and-jobs-data-by-business-size-and-anzsic-in-municipality/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Economy, Business, SME, Economic development, Employment | Business | Property",,Tabular,1686,6,census_year | clue_small_area | anzsic_indusrty | business_size | total_establishments | total_jobs
ASSET-0050,MOP:business-establishments-and-jobs-data-by-business-size-and-anzsic,Business establishments and jobs data by business size and ANZSIC in small areas,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-and-jobs-data-by-business-size-and-anzsic/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Economy, Business, SME, Economic development, Employment | Business | Property",,Tabular,13353,6,census_year | clue_small_area | anzsic_indusrty | business_size | total_establishments | total_jobs
ASSET-0053,MOP:business-establishments-and-jobs-data-by-business-size-and-clue-industry-in-municipality,Business establishments and jobs data by business size and CLUE industry in municipality,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-and-jobs-data-by-business-size-and-clue-industry-in-municipality/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Economy, Business, SME, Economic development, Employment | Business | Property",,Tabular,1802,6,census_year | clue_small_area | clue_industry | business_size | total_establishments | total_jobs
ASSET-0052,MOP:business-establishments-and-jobs-data-by-business-size-and-clue-industry,Business establishments and jobs data by business size and CLUE industry in small areas,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-and-jobs-data-by-business-size-and-clue-industry/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Economy, Business, SME, Economic development, Employment | Property | Business",,Tabular,14107,6,census_year | clue_small_area | clue_industry | business_size | total_establishments | total_jobs
ASSET-0003,MOP:business-establishments-with-address-and-industry-classification,Business establishments location and industry classification,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-with-address-and-industry-classification/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Geospatial,413550,12,census_year | block_id | property_id | base_property_id | clue_small_area | trading_name | business_address | industry_anzsic4_code | industry_anzsic4_description | longitude | latitude | point
ASSET-0055,MOP:business-establishments-per-block-by-anzsic,Business establishments per ANZSIC for blocks,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-per-block-by-anzsic/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Tabular,13519,23,census_year | block_id | clue_small_area | accommodation_and_food_services | administrative_and_support_services | agriculture_forestry_and_fishing | arts_and_recreation_services | construction | education_and_training | electricity_gas_water_and_waste_services | financial_and_insurance_services | health_care_and_social_assistance | information_media_and_telecommunications | manufacturing | mining | other_services | professional_scientific_and_technical_services | public_administration_and_safety | rental_hiring_and_real_estate_services | retail_trade | transport_postal_and_warehousing | wholesale_trade | total_establishments_in_block
ASSET-0054,MOP:business-establishments-per-anzsic-in-municipality,Business establishments per ANZSIC in municipality,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-per-anzsic-in-municipality/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Tabular,23,22,census_year | clue_small_area | accommodation_and_food_services | administrative_and_support_services | agriculture_forestry_and_fishing | arts_and_recreation_services | construction | education_and_training | electricity_gas_water_and_waste_services | financial_and_insurance_services | health_care_and_social_assistance | information_media_and_telecommunications | manufacturing | mining | other_services | professional_scientific_and_technical_services | public_administration_and_safety | rental_hiring_and_real_estate_services | retail_trade | transport_postal_and_warehousing | wholesale_trade | total_establishments_in_block
ASSET-0056,MOP:business-establishments-per-block-by-clue-industry,Business establishments per CLUE industry for blocks,https://data.melbourne.vic.gov.au/explore/dataset/business-establishments-per-block-by-clue-industry/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Tabular,13519,24,census_year | block_id | clue_small_area | accommodation | admin_and_support_services | agriculture_and_mining | arts_and_recreation_services | business_services | construction | education_and_training | electricity_gas_water_and_waste_services | finance_and_insurance | food_and_beverage_services | health_care_and_social_assistance | information_media_and_telecommunications | manufacturing | other_services | public_administration_and_safety | real_estate_services | rental_and_hiring_services | retail_trade | transport_postal_and_storage | wholesale_trade | total_establishments_in_block
ASSET-0132,MOP:new_clue_industry_establishments_for_com,Business establishments per CLUE industry in municipality,https://data.melbourne.vic.gov.au/explore/dataset/new_clue_industry_establishments_for_com/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Tabular,23,23,census_year | clue_small_area | accommodation | admin_and_support_services | agriculture_and_mining | arts_and_recreation_services | business_services | construction | education_and_training | electricity_gas_water_and_waste_services | finance_and_insurance | food_and_beverage_services | health_care_and_social_assistance | information_media_and_telecommunications | manufacturing | other_services | public_administration_and_safety | real_estate_services | rental_and_hiring_services | retail_trade | transport_postal_and_storage | wholesale_trade | total_establishments_in_block
ASSET-0057,MOP:butterfly-biodiversity-survey-2017,Butterfly biodiversity survey 2017,https://data.melbourne.vic.gov.au/explore/dataset/butterfly-biodiversity-survey-2017/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Geospatial,4056,42,site | sloc | walk | date | time | vegwalktime | vegspecies | vegfamily | lat | lon | temp | hum | win1 | win2 | win3 | win4 | win | per | sur | prap | vker | vite | blue | dpet | dple | pana | pdem | hesp | esmi | cato | gaca | belo | tabe | brow | csem | aand | jvil | paur | ogyr | gmac | datetime | location
ASSET-0004,MOP:cafes-and-restaurants-with-seating-capacity,"Café, restaurant, bistro seats",https://data.melbourne.vic.gov.au/explore/dataset/cafes-and-restaurants-with-seating-capacity/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,UC00010,Geospatial,66356,15,census_year | block_id | property_id | base_property_id | building_address | clue_small_area | trading_name | business_address | industry_anzsic4_code | industry_anzsic4_description | seating_type | number_of_seats | longitude | latitude | location
ASSET-0058,MOP:cardboard-bales-collected-at-degraves-st-recycling-facility-2016,Cardboard bales collected at Degraves St Recycling Facility 2016,https://data.melbourne.vic.gov.au/explore/dataset/cardboard-bales-collected-at-degraves-st-recycling-facility-2016/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Tabular,53,10,week_beginning_date | monday | tuesday | wednesday | thursday | friday | saturday | sunday | bales_collected | estimated_weight_of_cardboard_kg
ASSET-0059,MOP:childcare-centres,Childcare centres,https://data.melbourne.vic.gov.au/explore/dataset/childcare-centres/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Business,,Geospatial,29,5,ref | name | contact_ph | url | coordinates
ASSET-0060,MOP:city-circle-tram-route,City Circle tram route,https://data.melbourne.vic.gov.au/explore/dataset/city-circle-tram-route/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,1,9,geo_point_2d | geo_shape | name | xorg | mccid_str | xsource | xdate | mccid_int | route_no
ASSET-0061,MOP:city-circle-tram-stops,City Circle tram stops,https://data.melbourne.vic.gov.au/explore/dataset/city-circle-tram-stops/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,UC00157,Geospatial,28,9,geo_point_2d | geo_shape | name | xorg | stop_no | mccid_str | xsource | xdate | mccid_int
ASSET-0062,MOP:city-of-melbourne-3d-point-cloud-2018,City of Melbourne 3D Point Cloud 2018,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-3d-point-cloud-2018/,City of Melbourne Open Data,data.melbourne.vic.gov.au,City Council,,Tabular,0,Not stated,Not stated
ASSET-0063,MOP:city-of-melbourne-3d-textured-mesh-photomesh-2018,City of Melbourne 3D Textured Mesh (Photomesh) 2018,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-3d-textured-mesh-photomesh-2018/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Tabular,0,Not stated,Not stated
ASSET-0064,MOP:city-of-melbourne-3d-textured-mesh-photomesh-2020,City of Melbourne 3D Textured Mesh (Photomesh) 2020,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-3d-textured-mesh-photomesh-2020/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Tabular,0,Not stated,Not stated
ASSET-0065,MOP:city-of-melbourne-dwellings-and-household-forecasts-by-small-area-2020-2040,City of Melbourne Dwellings and Household Forecasts by Small Area 2023-2043,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-dwellings-and-household-forecasts-by-small-area-2020-2040/,City of Melbourne Open Data,data.melbourne.vic.gov.au,People,,Tabular,2646,5,geography | year | category | households | value
ASSET-0066,MOP:city-of-melbourne-floor-space-forecasts-by-small-area-2020-2040,City of Melbourne Floor Space Forecasts by Small Area 2023-2043,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-floor-space-forecasts-by-small-area-2020-2040/,City of Melbourne Open Data,data.melbourne.vic.gov.au,People,,Tabular,9345,5,geography | year | category | industry_space_use | value
ASSET-0067,MOP:city-of-melbourne-jobs-forecasts-by-small-area-2020-2040,City of Melbourne Jobs Forecasts by Small Area 2023-2043,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-jobs-forecasts-by-small-area-2020-2040/,City of Melbourne Open Data,data.melbourne.vic.gov.au,People,,Tabular,8505,5,geography | year | category | industry_space_use | value
ASSET-0068,MOP:city-of-melbourne-liveability-and-social-indicators,City of Melbourne Liveability and Social Indicators,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-liveability-and-social-indicators/,City of Melbourne Open Data,data.melbourne.vic.gov.au,People,,Tabular,319,10,type | topic | id | indicator | period | numerator | denominator | value | value_type | sources
ASSET-0069,MOP:city-of-melbourne-municipal-greenhouse-gas-emissions-2013-2020,City of Melbourne Municipal Greenhouse Gas Emissions 2013-2020,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-municipal-greenhouse-gas-emissions-2013-2020/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Tabular,8,60,year | population | area_km2 | gdp_m | residential_buildings_scope_1 | residential_buildings_scope_2 | residential_buildings_scope_3 | commercial_and_institutional_buildings_and_facilities_scope_1 | commercial_and_institutional_buildings_and_facilities_scope_2 | commercial_and_institutional_buildings_and_facilities_scope_3 | manufacturing_industries_and_construction_scope_1 | manufacturing_industries_and_construction_scope_2 | manufacturing_industries_and_construction_scope_3 | energy_industries_scope_1 | energy_industries_scope_2 | energy_industries_scope_3 | energy_generation_supplied_to_the_grid_scope_1 | agriculture_forestry_and_fishing_activities_scope_1 | agriculture_forestry_and_fishing_activities_scope_2 | agriculture_forestry_and_fishing_activities_scope_3 | non_specified_sources_scope_1 | non_specified_sources_scope_2 | non_specified_sources_scope_3 | fugitive_emissions_from_mining_processing_storage_and_transportation_of_coal_scope_1 | fugitive_emissions_from_oil_and_natural_gas_systems_scope_1 | on_road_transportation_scope_1 | on_road_transportation_scope_2 | on_road_transportation_scope_3 | railways_scope_1 | railways_scope_2 | railways_scope_3 | waterborne_navigation_scope_1 | waterborne_navigation_scope_2 | waterborne_navigation_scope_3 | aviation_scope_1 | aviation_scope_2 | aviation_scope_3 | off_road_transportation_scope_1 | off_road_transportation_scope_2 | off_road_transportation_scope_3 | solid_waste_generated_in_the_city_scope_1 | solid_waste_generated_in_the_city_scope_2 | solid_waste_generated_in_the_city_scope_3 | biological_waste_generated_in_the_city_scope_1 | biological_waste_generated_in_the_city_scope_2 | biological_waste_generated_in_the_city_scope_3 | incinerated_and_burned_waste_generated_in_the_city_scope_1 | incinerated_and_burned_waste_generated_in_the_city_scope_2 | incinerated_and_burned_waste_generated_in_the_city_scope_3 | wastewater_generated_in_the_city_scope_1 | wastewater_generated_in_the_city_scope_2 | wastewater_generated_in_the_city_scope_3 | emissions_from_industrial_processes_occurring_in_the_city_boundary_scope_1 | emissions_from_product_use_occurring_within_the_city_boundary_scope_2 | emissions_from_livestock_scope_3 | emissions_from_land_scope_1 | emissions_from_aggregate_sources_and_non_co2_emission_sources_on_land_scope_2 | other_scope_3_scope_3 | mrep1_and_mrep2_power_purchase_agreement_city_of_melbourne_scope_2 | yarra_trams_power_purchase_agreement_victorian_state_government_scope_2
ASSET-0005,MOP:city-of-melbourne-population-forecasts-by-small-area-2020-2040,City of Melbourne Population Forecasts by Small Area 2023-2043,https://data.melbourne.vic.gov.au/explore/dataset/city-of-melbourne-population-forecasts-by-small-area-2020-2040/,City of Melbourne Open Data,data.melbourne.vic.gov.au,People,,Tabular,10584,5,geography | year | gender | age | value
